obs,order1,terminal,species,stom_index,stom_dens,GCL,epi_dens,epid_areas,gsmax
1,1,Acidonia,Acidonia_microcarpa,16.00397614,16.6013,98.44,79.73281,10512.62588,1.483427266
2,1,Adenanthos,Adenanthos_sericeus,10.81289482,87.37624865,31.721736,788.0206511,1269.002276,2.515955156
3,1,Agastachys,Agastachys_odorata,6.851198717,46.142,61.89102067,627.3459822,1594.016744,2.592248395
4,1,Alloxylon,Alloxylon_flammeum,12.8825963,170.0294568,29.3041092,1173.675556,946.091223,4.522777739
5,0,Alloxylon,Alloxylon_pinnatum,11.15622685,98.2,46.32040765,782.0259163,1278.73,4.128919495
6,1,Athertonia,Athertonia_diversifolia,16.84133759,266.8518,22.0088693,1727.128029,578.9958723,5.331144111
7,1,Aulax,Aulax_cancellata,15.442575,53.59551359,46.78689788,293.5330447,2645.464037,2.27617287
8,1,Austromuellera,Austromuellera_trinervia,14.36985349,520.870306,22.02627071,3553.828356,281.3866906,10.41413317
9,1,Banksia,Banksia_grandis,6.427599683,170.0295,30.04993637,3055.664155,327.2610958,4.637889413
10,1,Beauprea,Beauprea_montana,21.98142,250.848,29.58879,890.3327,873.033652,6.737370069
11,1,Beaupreopsis,Beaupreopsis_paniculata,22.27377935,219.6213817,30.81959493,766.9036959,1031.932952,6.144040933
12,1,Bellendena,Bellendena_montana,12.72828437,127.5220926,43.32904272,1110.129108,900.7961264,5.015532853
13,1,Bleasdalea,Bleasdalea_bleasdalei,17.90342121,224.34971,25.74377,741.3514458,1348.887907,5.242642137
14,1,Brabejum,Brabejum_stellatifolium,12.38124972,278.659,29.57046494,1967.041385,508.3777128,7.479693155
15,1,Buckinghamia,Buckinghamia_celsissima,16.50528152,311.7207,23.47480962,1576.891133,634.1591875,6.642327371
16,0,Buckinghamia,Buckinghamia_ferruginiflora,14.34641565,299.9130697,25.29595029,1837.262742,563.266172,6.886506245
17,1,Cardwellia,Cardwellia_sublimis,8.364976691,247.9596,25.80347975,2446.324811,408.7764615,5.807801422
18,1,Carnarvonia,Carnarvonia_araliifolia,15.94908082,144.5250383,38.78830753,1037.801657,963.5752584,5.088578492
19,1,Catalepidia,Catalepidia_heyana,18.62845798,340.0589,24.71316305,1632.577223,612.5284524,7.628427705
20,1,Cenarrhenes,Cenarrhenes_nitida,11.34908506,210.1753,33.8993569,1641.738743,609.1103132,6.467339951
21,1,Conospermum,Conospermum_longifolium,29.12758114,292.2316083,30.02411296,711.0498069,1406.371242,7.964342498
22,0,Conospermum,Conospermum_taxifolium,15.21826341,93.6146802,35.684768,522.2013204,1234.829355,3.032350441
23,1,Darlingia,Darlingia_darlingiana,10.64512986,126.8900405,35.49271756,1065.698871,569.8002348,4.088079602
24,0,Darlingia,Darlingia_ferruginea,10.43554114,177.114,37.07594152,1520.105124,657.8492396,5.960705078
25,1,Eidothea,Eidothea_hardeniana,11.73347525,158.9879899,31.94379983,1290.119257,775.1221403,4.610026787
26,0,Eidothea,Eidothea_zoexylocarya,8.799707578,121.8544441,27.89791417,1269.553278,605.3831189,3.085784982
27,1,Embothrium,Embothrium_coccineum,11.54741465,160.5834,30.6689375,1053.238024,806.0455922,4.470457124
28,1,Floydia,Floydia_praealta,9.278033468,325.8898,25.9288653,3186.598068,313.8142867,7.670202571
29,1,Franklandia,Franklandia_fucifolia,9.69608336,90.50897991,50.89059361,842.9757933,908.2053086,4.181015152
