delete,AGE 1,CO2,CO2 Anagnostou,Zachos,Hansen,gcl,epi area,stom dens,gmax,SI,loggcl,log epi area,log stom dens,log gmax,log SI
0,15,242,,1.682,5.154,28.2,266.5,206,0.052731349,,1.450249108,2.425697213,2.31386722,-1.277931117,
0,15,242,,1.682,5.154,28.9,262.44,418,0.109654556,14.42315224,1.460897843,2.419030029,2.621176282,-0.959973321,1.159060188
0,18,247,,1.911,4.119,26.1,265.69,,,,1.416640507,2.424375209,,,
0,18,247,,1.911,4.119,22.7,320.41,467,0.096226634,16.46127007,1.356025857,2.505706062,2.669316881,-1.016704708,1.21646334
0,20,289,,1.991,4.14,31.5,,,,,1.498310554,,,,
0,20,289,,1.991,4.14,17.4,171.61,479,0.075654944,8.771128764,1.240549248,2.234542591,2.680335513,-1.121162684,0.943055487
0,24,358,,1.991,4.507,27.5,353.44,140,0.034947272,5.243880236,1.439332694,2.548315699,2.146128036,-1.456586716,0.719652764
0,24,358,,1.991,4.507,24,299.29,438,0.095419669,14.91680335,1.380211242,2.476092206,2.641474111,-1.020362093,1.173675764
0,24,358,,1.991,4.507,33.4,552.25,153,0.046386377,9.246333473,1.523746467,2.742135725,2.184691431,-1.333609548,0.965969552
0,24,358,,1.991,4.507,23.3,392.04,277,0.058585244,11.33306523,1.367355921,2.593330381,2.442479769,-1.232211755,1.054347388
0,24,358,,1.991,4.507,53.7,4435.56,37,0.018035516,15.52040303,1.729974286,3.646948458,1.568201724,-1.743871436,1.190902995
0,24,358,,1.991,4.507,74.3,4462.24,41,0.027651916,19.12498357,1.870988814,3.649552925,1.612783857,-1.558274775,1.281601071
0,24,358,,1.991,4.507,30.7,829.44,104,,,1.487138375,2.918784976,2.017033339,,
0,24,358,,1.991,4.507,32.3,625,136,0.039874384,9.012709999,1.509202522,2.795880017,2.133538908,-1.399306015,0.954855397
0,24,358,,1.991,4.507,30.5,605.16,95,0.026301226,5.932228268,1.484299839,2.781870214,1.977723605,-1.580024001,0.773217854
0,24,358,,1.991,4.507,30.8,506.25,78,0.021807098,4.089877014,1.488550717,2.704365036,1.892094603,-1.661402126,0.611710249
0,24,358,,1.991,4.507,50.4,1303.21,79,0.036141834,11.41036946,1.702430536,3.115014404,1.897627091,-1.441989818,1.057299707
0,24,358,,1.991,4.507,19.3,375,228,0.039943371,8.545109805,1.285557309,2.574031268,2.357934847,-1.398555289,0.931717648
0,24,358,,1.991,4.507,24.5,1047,127,0.02824375,12.58297652,1.389166084,3.019946682,2.103803721,-1.54907764,1.099783386
0,30,484,,2.597,3.666,26,625,149,0.035165125,9.383807554,1.414973348,2.795880017,2.173186268,-1.453887829,0.972379093
0,32,770,508.6855366,2.46,3.623,20.2,219.04,473,0.086729145,11.37772663,1.305351369,2.340523431,2.674861141,-1.061834935,1.056055495
0,32,770,508.6855366,2.46,3.623,37.7,,,,,1.57634135,,,,
0,32,770,508.6855366,2.46,3.623,45.3,864.36,116,0.047698942,11.62874602,1.656098202,2.936694661,2.064457989,-1.321491254,1.065532885
0,32,770,508.6855366,2.46,3.623,26.9,,,,,1.42975228,,,,
0,32,770,508.6855366,2.46,3.623,28.7,,,,,1.457881897,,,,
0,32,770,508.6855366,2.46,3.623,44.6,585.64,125,0.050605466,8.878068303,1.649334859,2.767630732,2.096910013,-1.295802574,0.948318482
0,32,770,508.6855366,2.46,3.623,35.2,309.76,132,0.042176365,4.66051373,1.546542663,2.491025336,2.120573931,-1.374930851,0.668433792
0,32,770,508.6855366,2.46,3.623,66.5,1030.41,50,0.030181735,6.204239362,1.822821645,3.013010065,1.698970004,-1.520255796,0.792688545
0,32,770,508.6855366,2.46,3.623,39,285.61,136,0.048145541,4.668698173,1.591064607,2.455773409,2.133538908,-1.31744393,0.669195798
0,32,770,508.6855366,2.46,3.623,34.8,,,,,1.541579244,,,,
0,32,770,508.6855366,2.46,3.623,25,259.21,246,0.055824864,7.007094801,1.397940009,2.413651752,2.390935107,-1.25317233,0.845537993
0,32,770,508.6855366,2.46,3.623,28.3,497.29,264,0.067817678,14.2723941,1.451786436,2.696609726,2.421603927,-1.168657083,1.154496829
0,32,770,508.6855366,2.46,3.623,32.6,416.16,149,0.044091657,6.86188094,1.5132176,2.619260335,2.173186268,-1.355643577,0.836443178
0,32,770,508.6855366,2.46,3.623,26.9,718.24,182,0.044440222,13.08475626,1.42975228,2.856269588,2.260071388,-1.352223777,1.116765637
0,32,770,508.6855366,2.46,3.623,54.3,278.89,57,0.028094884,1.874984077,1.73479983,2.445432942,1.755874856,-1.55137276,0.272997584
